time,open,high,low,close,volume
2025-03-07 14:30:00+00:00,235.7778200637356,241.37,234.76,237.57625,46273565
2025-03-10 13:30:00+00:00,236.6770350318678,236.6770350318678,224.22,230.85,72071197
2025-03-11 13:30:00+00:00,233.7635175159339,233.7635175159339,217.45,221.983725,76137410
2025-03-12 13:30:00+00:00,227.87362125796696,227.87362125796696,214.91,218.445,62547467
2025-03-13 13:30:00+00:00,223.15931062898343,223.15931062898343,208.42,212.72235,61368330
2025-03-14 13:30:00+00:00,217.94083031449173,217.94083031449173,209.58,212.0675,60107582
2025-03-17 13:30:00+00:00,215.00416515724584,215.22,209.97,213.125,48073426
2025-03-18 13:30:00+00:00,214.06458257862292,215.15,211.49,213.3725,42432426
2025-03-19 13:30:00+00:00,213.71854128931147,218.76,213.71854128931147,215.4925,54385391
2025-03-20 13:30:00+00:00,214.6055206446557,217.4899,212.22,214.449975,48862947
2025-03-21 13:30:00+00:00,214.52774782232788,218.84,211.28,214.9875,94127768
2025-03-24 13:30:00+00:00,214.75762391116396,221.48,214.75762391116396,220.4475,44299483
2025-03-25 13:30:00+00:00,217.602561955582,224.1,217.602561955582,222.175,34493583
2025-03-26 13:30:00+00:00,219.888780977791,225.02,219.888780977791,222.6325,34532656
2025-03-27 13:30:00+00:00,221.2606404888955,224.99,220.5601,222.697525,37094774
2025-03-28 13:30:00+00:00,221.9790827444477,223.81,217.68,220.265,39818617
2025-03-31 13:30:00+00:00,221.12204137222383,225.62,216.23,220.24625,65299321
2025-04-01 13:30:00+00:00,220.68414568611195,223.68,218.9,221.39375,36412740
2025-04-02 13:30:00+00:00,221.038947843056,225.19,221.02,222.85375,35905904
2025-04-03 13:30:00+00:00,221.946348921528,221.946348921528,201.25,204.3675,103419006
2025-04-04 13:30:00+00:00,213.156924460764,213.156924460764,187.34,192.3725,125910913
2025-04-07 13:30:00+00:00,202.764712230382,202.764712230382,174.62,181.8575,160466286
2025-04-08 13:30:00+00:00,192.31110611519105,192.31110611519105,169.2101,179.66627499999998,120859491
2025-04-09 13:30:00+00:00,185.9886905575955,200.61,171.89,185.825,184395885
2025-04-10 13:30:00+00:00,185.90684527879776,194.7799,183.0,189.316225,121879981
2025-04-11 13:30:00+00:00,187.61153513939888,199.54,186.06,192.4625,87435915
2025-04-14 13:30:00+00:00,190.03701756969943,212.94,190.03701756969943,207.015525,101352911
2025-04-15 13:30:00+00:00,198.5262712848497,203.51,198.5262712848497,201.82625,51343872
2025-04-16 13:30:00+00:00,200.17626064242484,200.7,192.37,196.425,59732423
2025-04-17 13:30:00+00:00,198.3006303212124,198.8335,194.42,196.858375,52164675
2025-04-21 13:30:00+00:00,197.5795026606062,197.5795026606062,189.8112,192.50905,46742537
2025-04-22 13:30:00+00:00,195.0442763303031,201.59,195.0442763303031,198.355,52976371
2025-04-23 13:30:00+00:00,196.69963816515155,208.0,196.69963816515155,205.34975,52929165
2025-04-24 13:30:00+00:00,201.02469408257576,208.8299,201.02469408257576,206.257475,47310989
2025-04-25 13:30:00+00:00,203.64108454128788,209.75,203.64108454128788,207.89875,38222258
2025-04-28 13:30:00+00:00,205.76991727064396,211.5,205.76991727064396,209.775,38743074
2025-04-29 13:30:00+00:00,207.772458635322,212.24,207.772458635322,210.12825,36827633
2025-04-30 13:30:00+00:00,208.95035431766095,213.58,206.6705,210.512625,52286454
2025-05-01 13:30:00+00:00,209.7314896588305,214.56,208.9,211.465,57365675
2025-05-02 13:30:00+00:00,210.59824482941525,210.59824482941525,202.16,205.1475,101010621
2025-05-05 13:30:00+00:00,207.8728724147076,207.8728724147076,198.21,201.075,69018452
2025-05-06 13:30:00+00:00,204.4739362073538,204.4739362073538,197.02,198.5975,51216482
2025-05-07 13:30:00+00:00,201.5357181036769,201.5357181036769,193.25,197.0275,68616943
2025-05-08 13:30:00+00:00,199.28160905183847,200.05,194.6796,197.4849,50478872
2025-05-09 13:30:00+00:00,198.38325452591923,200.5399,197.535,198.901225,36453923
2025-05-12 13:30:00+00:00,198.6422397629596,211.2679,198.6422397629596,209.944475,63775814
2025-05-13 13:30:00+00:00,204.29335738147975,213.4,204.29335738147975,211.44,51909332
2025-05-14 13:30:00+00:00,207.8666786907399,213.94,207.8666786907399,212.320025,49325825
2025-05-15 13:30:00+00:00,210.09335184537,212.96,209.54,211.225,45029473
2025-05-16 13:30:00+00:00,210.65917592268497,212.57,209.77,211.49,54737850
2025-05-19 13:30:00+00:00,211.0745879613425,211.0745879613425,204.26,207.6075,46140527
2025-05-20 13:30:00+00:00,209.3410439806713,209.3410439806713,205.03,207.0075,42496635
2025-05-21 13:30:00+00:00,208.17427199033563,208.17427199033563,200.71,203.7525,59211774
2025-05-22 13:30:00+00:00,205.9633859951678,205.9633859951678,199.7,201.13,46742407
2025-05-23 13:30:00+00:00,203.54669299758396,203.54669299758396,193.46,195.02375,78432918
2025-05-27 13:30:00+00:00,199.285221498792,200.74,197.43,199.17,56288475
2025-05-28 13:30:00+00:00,199.227610749396,202.73,199.227610749396,200.91,45339678
2025-05-29 13:30:00+00:00,200.068805374698,203.81,198.51,201.46125,51477938
2025-05-30 13:30:00+00:00,200.765027687349,201.96,196.78,199.74,70819942
2025-06-02 13:30:00+00:00,200.2525138436745,202.13,200.12,201.0575,35423294
2025-06-03 13:30:00+00:00,200.65500692183724,203.77,200.65500692183724,202.33625,46381567
2025-06-04 13:30:00+00:00,201.49562846091865,206.24,201.49562846091865,203.5175,43603985
2025-06-05 13:30:00+00:00,202.5065642304593,204.75,200.15,202.2575,55221235
2025-06-06 13:30:00+00:00,202.3820321152297,205.7,202.05,203.6675,46607693
